,cv_mean,cv_std,test
precision,0.7328060731538992,0.07660895685534896,0.75
recall,0.6973544973544974,0.059476171413318075,0.7058823529411765
f1,0.7137418398594868,0.06274661025255558,0.7272727272727273
roc_auc,0.9684019707247165,0.017292867783766895,0.9700516075995617
average_precision,0.7748110434926634,0.052291751448428805,0.7813781754923286
