,cv_mean,cv_std,test
precision,0.13744793005263947,0.01200172400922681,0.14395886889460155
recall,0.8082010582010583,0.08865592108821231,0.8235294117647058
f1,0.2347694655579155,0.020349977405950355,0.24507658643326038
roc_auc,0.8957484147713487,0.03246060318996285,0.9068855803190842
average_precision,0.4475248573718179,0.05991986224936344,0.39638522610187543
